yatstats overall rank everybody,hsid,hsname,hsname.1,location,city,regionname,nickname,alumni listed,Drafted from School,Total Draft Picks,Major Leaguers,Active Players 2024-2025
12559,9781,Williamsville,Williamsville,"Williamsville,NY","Williamsville,NY",New York,-,5,1,2,1,0
12560,11204,Sacred Heart,Sacred Heart,"Salina,KS","Salina,KS",Kansas,Knights,5,0,2,1,0
12561,3916,Citronelle,Citronelle,"Citronelle,AL","Citronelle,AL",Alabama,Wildcats,5,1,1,1,0
12562,12592,Richton,Richton,"Richton,MS","Richton,MS",Mississippi,Rebels,5,1,1,1,0
12563,8193,Viola,Viola,"Viola,AR","Viola,AR",Arkansas,Longhorns,5,1,1,1,0
12564,12020,Fleming County,Fleming County,"Flemingsburg,KY","Flemingsburg,KY",Kentucky,Panthers,5,0,1,1,0
12565,14391,Minisink Valley,Minisink Valley,"Slate Hill,NY","Slate Hill,NY",New York,Warriors,5,0,1,1,0
12566,12285,Soldan,Soldan,"St. Louis,MO","St. Louis,MO",Missouri,Tigers,5,0,1,1,0
12567,1180,Blair,Blair,"Hattiesburg,MS","Hattiesburg,MS",Mississippi,-,4,4,4,1,0
12568,3409,Bossier,Bossier,"Bossier City,LA","Bossier City,LA",Louisiana,Bearkats,4,4,4,1,0
12569,2685,Courter Tech,Courter Tech,"Cincinnati,OH","Cincinnati,OH",Ohio,-,4,4,4,1,0
12570,5554,Kingsbury,Kingsbury,"Memphis,TN","Memphis,TN",Tennessee,Falcons,4,4,4,1,0
12571,2260,Miguel Melendez Munoz,Miguel Melendez Munoz,"Cayey,PR","Cayey,PR",Puerto Rico,-,4,4,4,1,0
12572,6410,Neff,Neff,"La Mirada,CA","La Mirada,CA",California,-,4,4,4,1,0
12573,2059,Southwest Magnet,Southwest Magnet,"Macon,GA","Macon,GA",Georgia,Patriots,4,4,4,1,0
12574,8299,Roy J. Wasson,Roy J. Wasson,"Colorado Springs,CO","Colorado Springs,CO",Colorado,Thunderbirds,4,3,4,1,0
12575,7547,South Leake,South Leake,"Walnut Grove,MS","Walnut Grove,MS",Mississippi,Wildcats,4,3,4,1,0
12576,2687,Towers,Towers,"Decatur,GA","Decatur,GA",Georgia,Titans,4,3,4,1,0
12577,18646,Twin Lakes,Twin Lakes,"West Palm Beach,FL","West Palm Beach,FL",Florida,-,4,3,4,1,0
12578,4742,Frayser,Frayser,"Memphis,TN","Memphis,TN",Tennessee,Rams,4,2,4,1,0
12579,5189,Holdenville,Holdenville,"Holdenville,OK","Holdenville,OK",Oklahoma,Wolverines,4,2,4,1,0
12580,14364,Kenwood,Kenwood,"Baltimore,MD","Baltimore,MD",Maryland,Bluebirds,4,2,4,1,0
12581,13046,Mount Carmel,Mount Carmel,"Los Angeles,CA","Los Angeles,CA",California,-,4,2,4,1,0
12582,6331,Mount Healthy,Mount Healthy,"Cincinnati,OH","Cincinnati,OH",Ohio,Fighting Owls,4,2,4,1,0
12583,1534,New Brunswick,New Brunswick,"New Brunswick,NJ","New Brunswick,NJ",New Jersey,Zebras,4,2,4,1,0
12584,6507,Norte del Rio,Norte del Rio,"Sacramento,CA","Sacramento,CA",California,-,4,2,4,1,0
12585,372,Edmondson-Westside,Edmondson-Westside,"Baltimore,MD","Baltimore,MD",Maryland,Red Storm,4,1,4,1,0
12586,4705,Framingham South,Framingham South,"Framingham,MA","Framingham,MA",Massachusetts,-,4,1,4,1,0
12587,4917,Granite,Granite,"Granite,OK","Granite,OK",Oklahoma,Panthers,4,1,4,1,0
12588,14860,Lakeshore,Lakeshore,"College Park,GA","College Park,GA",Georgia,-,4,1,4,1,0
12589,9809,Mesa Verde,Mesa Verde,"Citrus Heights,CA","Citrus Heights,CA",California,Mavericks,4,0,4,1,0
12590,10336,Miraleste,Miraleste,"Rancho Palos Verdes,CA","Rancho Palos Verdes,CA",California,-,4,0,4,1,0
12591,3045,Anadarko,Anadarko,"Anadarko,OK","Anadarko,OK",Oklahoma,Warriors,4,4,3,1,0
12592,224,Commack South,Commack South,"Commack,NY","Commack,NY",New York,-,4,3,3,1,0
12593,4132,Cumberland Regional,Cumberland Regional,"Seabrook,NJ","Seabrook,NJ",New Jersey,Colts,4,3,3,1,0
12594,4206,Delcastle,Delcastle,"Wilmington,DE","Wilmington,DE",Delaware,Cougars,4,3,3,1,0
12595,4986,Gustine,Gustine,"Gustine,CA","Gustine,CA",California,Redskins,4,3,3,1,0
12596,1252,LaSalle,LaSalle,"Niagara Falls,NY","Niagara Falls,NY",New York,Explorers,4,3,3,1,0
12597,2800,Manhattan Prep,Manhattan Prep,"Bronx,NY","Bronx,NY",New York,-,4,3,3,1,0
12598,5965,Maple Ridge,Maple Ridge,"Maple Ridge,BC","Maple Ridge,BC",British Columbia,Ramblers,4,3,3,1,0
12599,3465,Bridgeport,Bridgeport,"Bridgeport,MI","Bridgeport,MI",Michigan,Bearcats,4,2,3,1,0
12600,3643,Carman-Ainsworth,Carman-Ainsworth,"Flint,MI","Flint,MI",Michigan,Cavaliers,4,2,3,1,0
12601,11004,Central,Central,"Tulsa,OK","Tulsa,OK",Oklahoma,Braves,4,2,3,1,0
12602,16076,Cleveland,Cleveland,"St. Louis,MO","St. Louis,MO",Missouri,-,4,2,3,1,0
12603,3990,Coleman Community,Coleman Community,"Coleman,MI","Coleman,MI",Michigan,Comets,4,2,3,1,0
12604,5921,Madison Heights,Madison Heights,"Anderson,IN","Anderson,IN",Indiana,Pirates,4,2,3,1,0
12605,1401,Milford Mill,Milford Mill,"Baltimore,MD","Baltimore,MD",Maryland,Millers,4,2,3,1,0
12606,7715,St. Helen's,St. Helen's,"St. Helen's,OR","St. Helen's,OR",Oregon,Lions,4,2,3,1,0
12607,4561,F.L. Schlagle,F.L. Schlagle,"Kansas City,KS","Kansas City,KS",Kansas,Stallions,4,1,3,1,0
12608,10427,Jefferson,Jefferson,"Port Arthur,TX","Port Arthur,TX",Texas,-,4,1,3,1,0
12609,14363,Northwest,Northwest,"House Springs,MO","House Springs,MO",Missouri,Lions,4,1,3,1,0
12610,6974,Prague,Prague,"Prague,OK","Prague,OK",Oklahoma,Red Devils,4,1,3,1,0
12611,9713,Roosevelt,Roosevelt,"Yonkers,NY","Yonkers,NY",New York,-,4,1,3,1,0
12612,7538,South Hills Catholic,South Hills Catholic,"Pittsburgh,PA","Pittsburgh,PA",Pennsylvania,-,4,1,3,1,0
12613,12761,St. Andrews Episocpal,St. Andrews Episocpal,"Austin,TX","Austin,TX",Texas,Crusaders,4,1,3,1,0
12614,8204,WA Berry,WA Berry,"Birmingham,AL","Birmingham,AL",Alabama,Buccaneers,4,1,3,1,0
12615,14725,Frontier,Frontier,"Chalmers,IN","Chalmers,IN",Indiana,Falcons,4,0,3,1,0
12616,6147,Memphis Catholic,Memphis Catholic,"Memphis,TN","Memphis,TN",Tennessee,Chargers,4,2,2,1,0
12617,2098,Pearl Cohn Comprehensive,Pearl Cohn Comprehensive,"Nashville,TN","Nashville,TN",Tennessee,Firebirds,4,2,2,1,0
12618,7809,St. Patrick's,St. Patrick's,"Elizabeth,NJ","Elizabeth,NJ",New Jersey,Celtics,4,2,2,1,0
12619,4841,Glasgow,Glasgow,"Glasgow,KY","Glasgow,KY",Kentucky,Scotties,4,1,2,1,0
12620,10019,Holly Hill-Roberts,Holly Hill-Roberts,"Holly Hill,SC","Holly Hill,SC",South Carolina,Bulldogs,4,1,2,1,0
12621,5848,Long County,Long County,"Ludowici,GA","Ludowici,GA",Georgia,Blue Tide,4,1,2,1,0
12622,7363,Screven County,Screven County,"Sylvania,GA","Sylvania,GA",Georgia,Gamecocks,4,1,2,1,0
12623,8125,University Christian School,University Christian School,"Madison,MS","Madison,MS",Mississippi,-,4,1,2,1,0
12624,8383,West End,West End,"Birmingham,AL","Birmingham,AL",Alabama,Patriots,4,1,2,1,0
12625,8419,West Roxbury,West Roxbury,"West Roxbury,MA","West Roxbury,MA",Massachusetts,-,4,1,2,1,0
12626,9901,Centreville Academy,Centreville Academy,"Centreville,MS","Centreville,MS",Mississippi,Tigers,4,0,2,1,0
12627,10113,Cottonwood,Cottonwood,"Cottonwood,AL","Cottonwood,AL",Alabama,Bears,4,0,2,1,0
12628,11877,Geneva,Geneva,"Geneva,AL","Geneva,AL",Alabama,Panthers,4,0,2,1,0
12629,19030,Greenfield,Greenfield,"Greenfield,WI","Greenfield,WI",Wisconsin,Hustlin' Hawks,4,0,2,1,0
12630,13946,Mount Carmel,Mount Carmel,"Houston,TX","Houston,TX",Texas,-,4,0,2,1,0
12631,10834,St. Bede Academy,St. Bede Academy,"Peru,IL","Peru,IL",Illinois,Bruins,4,0,2,1,0
12632,6125,Meadville,Meadville,"Meadville,PA","Meadville,PA",Pennsylvania,Bulldogs,4,1,1,1,0
12633,6185,Mid Park,Mid Park,"Middleburgh Heights,OH","Middleburgh Heights,OH",Ohio,-,4,1,1,1,0
12634,7011,Queen Anne,Queen Anne,"Seattle,WA","Seattle,WA",Washington,Grizzlies,4,1,1,1,0
12635,16331,Riverside,Riverside,"Port Coquitlam,BC","Port Coquitlam,BC",British Columbia,Rapids,4,1,1,1,0
12636,31,Southern Door,Southern Door,"Brussels,WI","Brussels,WI",Wisconsin,Eagles,4,1,1,1,0
12637,14237,Waverly,Waverly,"Lansing,MI","Lansing,MI",Michigan,Warriors,4,1,1,1,0
12638,12149,Billy Mitchell,Billy Mitchell,"Colorado Springs,CO","Colorado Springs,CO",Colorado,Marauders,4,0,1,1,0
12639,3569,Caldwell Parish,Caldwell Parish,"Columbia,LA","Columbia,LA",Louisiana,Spartans,4,0,1,1,0
12640,11454,E.E. Smith,E.E. Smith,"Fayetteville,NC","Fayetteville,NC",North Carolina,Golden Bulls,4,0,1,1,0
12641,10599,Hatton,Hatton,"Town Creek,AL","Town Creek,AL",Alabama,Hornets,4,0,1,1,0
12642,10549,NVRHS Demarest,NVRHS Demarest,"Haworth,NJ","Haworth,NJ",New Jersey,Norsemen,4,0,1,1,0
12643,11710,Strong Vincent,Strong Vincent,"Erie,PA","Erie,PA",Pennsylvania,Colonels,4,0,1,1,0
12644,11825,Concord,Concord,"Concord,MA","Concord,MA",Massachusetts,-,4,0,0,1,0
12645,4787,Garfield,Garfield,"Akron,OH","Akron,OH",Ohio,Rams,4,0,0,1,0
12646,13833,Holderness School,Holderness School,"Holderness,NH","Holderness,NH",New Hampshire,Bulls,4,0,0,1,0
12647,6907,Plainfield,Plainfield,"Plainfield,NJ","Plainfield,NJ",New Jersey,Cardinals,4,0,0,1,0
12648,8984,Southside,Southside,"New York,NY","New York,NY",New York,-,4,0,0,1,0
12649,15183,Alfonso Casta Martinez,Alfonso Casta Martinez,"Maunabo,PR","Maunabo,PR",Puerto Rico,-,3,3,3,1,0
12650,3029,Amelia,Amelia,"Amelia,OH","Amelia,OH",Ohio,Barons,3,3,3,1,0
12651,9920,Andover,Andover,"Linthicum,MD","Linthicum,MD",Maryland,Archers,3,3,3,1,0
12652,1182,Blanche Ely,Blanche Ely,"Pompano Beach,FL","Pompano Beach,FL",Florida,Tigers,3,3,3,1,0
12653,1585,Bourgade Catholic,Bourgade Catholic,"Phoenix,AZ","Phoenix,AZ",Arizona,Golden eagles,3,3,3,1,0
12654,3986,Cohn,Cohn,"Nashville,TN","Nashville,TN",Tennessee,-,3,3,3,1,0
12655,4134,Cummings,Cummings,"Burlington,NC","Burlington,NC",North Carolina,Cavaliers,3,3,3,1,0
12656,4353,Dykes,Dykes,"Atlanta,GA","Atlanta,GA",Georgia,Colts,3,3,3,1,0
12657,5403,John Harris,John Harris,"Harrisburg,PA","Harrisburg,PA",Pennsylvania,-,3,3,3,1,0
12658,13439,Lincoln,Lincoln,"Port Arthur,TX","Port Arthur,TX",Texas,-,3,3,3,1,0
12659,110,Lino Padron Rivera,Lino Padron Rivera,"Vega Baja,PR","Vega Baja,PR",Puerto Rico,-,3,3,3,1,0
12660,16868,Pioneer,Pioneer,"Whittier,CA","Whittier,CA",California,Titans,3,3,3,1,0
12661,7248,Roxborough,Roxborough,"Philadelphia,PA","Philadelphia,PA",Pennsylvania,Indians,3,3,3,1,0
12662,7626,Spingarn,Spingarn,"Washington,DC","Washington,DC",District of Columbia,Green Waves,3,3,3,1,0
12663,7713,St. Helena,St. Helena,"Bronx,NY","Bronx,NY",New York,-,3,3,3,1,0
12664,7867,Stringtown,Stringtown,"Stringtown,OK","Stringtown,OK",Oklahoma,Tigers,3,3,3,1,0
12665,2524,West Side,West Side,"Gary,IN","Gary,IN",Indiana,Cougars,3,3,3,1,0
12666,3219,Baton Rouge,Baton Rouge,"Baton Rouge,LA","Baton Rouge,LA",Louisiana,Bulldogs,3,2,3,1,0
12667,994,Columbia-Burbank,Columbia-Burbank,"Burbank,WA","Burbank,WA",Washington,Coyotes,3,2,3,1,0
12668,4085,Craigmont,Craigmont,"Memphis,TN","Memphis,TN",Tennessee,Chiefs,3,2,3,1,0
12669,949,Forest View,Forest View,"Mount Prospect,IL","Mount Prospect,IL",Illinois,Falcons,3,2,3,1,0
12670,15138,Gorham,Gorham,"Gorham,IL","Gorham,IL",Illinois,Rams,3,2,3,1,0
12671,5009,Hamilton Union,Hamilton Union,"Hamilton City,CA","Hamilton City,CA",California,-,3,2,3,1,0
12672,5187,Holbrook,Holbrook,"Holbrook,MA","Holbrook,MA",Massachusetts,Bulldogs,3,2,3,1,0
12673,5284,Hutchinson Technical,Hutchinson Technical,"Buffalo,NY","Buffalo,NY",New York,Engineers,3,2,3,1,0
12674,5502,Kennedy,Kennedy,"Denver,CO","Denver,CO",Colorado,Commanders,3,2,3,1,0
12675,857,Leon Godchaux,Leon Godchaux,"Reserve,LA","Reserve,LA",Louisiana,-,3,2,3,1,0
12676,12606,Lowell,Lowell,"Whittier,CA","Whittier,CA",California,Patriots,3,2,3,1,0
12677,880,Millwood,Millwood,"Oklahoma City,OK","Oklahoma City,OK",Oklahoma,Falcons,3,2,3,1,0
12678,6505,Normandy,Normandy,"St. Louis,MO","St. Louis,MO",Missouri,Vikings,3,2,3,1,0
12679,10356,Olympia,Olympia,"Columbia,SC","Columbia,SC",South Carolina,-,3,2,3,1,0
12680,11028,Parkwood,Parkwood,"Joplin,MO","Joplin,MO",Missouri,-,3,2,3,1,0
12681,2014,Roger C.  Sullivan,Roger C.  Sullivan,"Chicago,IL","Chicago,IL",Illinois,Tigers,3,2,3,1,0
12682,7559,South Shore,South Shore,"Brooklyn,NY","Brooklyn,NY",New York,Vikings,3,2,3,1,0
12683,7823,St. Philip Lutheran,St. Philip Lutheran,"Chicago,IL","Chicago,IL",Illinois,-,3,2,3,1,0
12684,443,Tennyson,Tennyson,"Hayward,CA","Hayward,CA",California,Lancers,3,2,3,1,0
12685,8568,William A. Wirt,William A. Wirt,"Miller,IN","Miller,IN",Indiana,Troopers,3,2,3,1,0
12686,11041,Wyandotte,Wyandotte,"Kansas City,KS","Kansas City,KS",Kansas,Bulldogs,3,2,3,1,0
12687,3862,Chattahoochee,Chattahoochee,"Chattahoochee,FL","Chattahoochee,FL",Florida,Cougars,3,1,3,1,0
12688,18932,Cherokee,Cherokee,"Cherokee,AL","Cherokee,AL",Alabama,Indians,3,1,3,1,0
12689,2355,Coffee,Coffee,"Florence,AL","Florence,AL",Alabama,Yellow Jackets,3,1,3,1,0
12690,847,Darlington,Darlington,"Darlington,SC","Darlington,SC",South Carolina,Falcons,3,1,3,1,0
12691,6572,North Syracuse,North Syracuse,"North Syracuse,NY","North Syracuse,NY",New York,-,3,1,3,1,0
12692,6789,Parry-McCluer,Parry-McCluer,"Buena Vista,VA","Buena Vista,VA",Virginia,Fighting Blues,3,1,3,1,0
12693,7152,Riverview Gardens,Riverview Gardens,"St. Louis,MO","St. Louis,MO",Missouri,Rams,3,1,3,1,0
12694,7909,Swissvale,Swissvale,"Swissvale,PA","Swissvale,PA",Pennsylvania,-,3,1,3,1,0
12695,10717,Union,Union,"Grand Rapids,MI","Grand Rapids,MI",Michigan,Red Hawks,3,1,3,1,0
12696,8551,Windsor Academy,Windsor Academy,"Macon,GA","Macon,GA",Georgia,Knights,3,1,3,1,0
12697,16740,Manuela Toro,Manuela Toro,"Caguas,PR","Caguas,PR",Puerto Rico,,3,5,2,1,0
12698,3424,Bradenton,Bradenton,"Anna Maria,FL","Anna Maria,FL",Florida,-,3,3,2,1,0
12699,8681,Brewer,Brewer,"Somerville,AL","Somerville,AL",Alabama,Patriots,3,2,2,1,0
12700,3628,Cardinal O'Hara,Cardinal O'Hara,"Tonawanda,NY","Tonawanda,NY",New York,Hawks,3,2,2,1,0
12701,8861,Chapel Hill,Chapel Hill,"Tyler,TX","Tyler,TX",Texas,Bulldogs,3,2,2,1,0
12702,3985,Coeburn,Coeburn,"Coeburn,VA","Coeburn,VA",Virginia,Blue Knights,3,2,2,1,0
12703,881,Gideon,Gideon,"Gideon,MO","Gideon,MO",Missouri,Bulldogs,3,2,2,1,0
12704,10333,Hydro-Eakly,Hydro-Eakly,"Eakly,OK","Eakly,OK",Oklahoma,Bobcats,3,2,2,1,0
12705,5849,Long Island City,Long Island City,"Long Island City,NY","Long Island City,NY",New York,Bulldogs,3,2,2,1,0
12706,6949,Port Byron,Port Byron,"Port Byron,NY","Port Byron,NY",New York,Panthers,3,2,2,1,0
12707,432,Rippowam,Rippowam,"Stamford,CT","Stamford,CT",Connecticut,-,3,2,2,1,0
12708,8009,Timmonsville,Timmonsville,"Timmonsville,SC","Timmonsville,SC",South Carolina,Whirlwinds,3,2,2,1,0
12709,8431,Westby,Westby,"Westby,WI","Westby,WI",Wisconsin,Norsemen,3,2,2,1,0
12710,580,Woodlake Union,Woodlake Union,"Woodlake,CA","Woodlake,CA",California,Tigers,3,2,2,1,0
12711,3355,Bishopville,Bishopville,"Bishopville,SC","Bishopville,SC",South Carolina,-,3,1,2,1,0
12712,3469,Bridgewater,Bridgewater,"Bridgewater,MA","Bridgewater,MA",Massachusetts,-,3,1,2,1,0
12713,3491,Brooklyn,Brooklyn,"Brooklyn,OH","Brooklyn,OH",Ohio,Hurricanes,3,1,2,1,0
12714,11198,Central,Central,"East Chicago,IN","East Chicago,IN",Indiana,Cardinals,3,1,2,1,0
12715,17167,Collinwood,Collinwood,"Cleveland,OH","Cleveland,OH",Ohio,Railroaders,3,1,2,1,0
12716,4311,Downsville,Downsville,"Downsville,LA","Downsville,LA",Louisiana,-,3,1,2,1,0
12717,4466,Edsel Ford,Edsel Ford,"Dearborn,MI","Dearborn,MI",Michigan,Thunderbirds,3,1,2,1,0
12718,13383,Ellwood City,Ellwood City,"Ellwood City,PA","Ellwood City,PA",Pennsylvania,-,3,1,2,1,0
12719,2360,Emmerich Manual,Emmerich Manual,"Indianapolis,IN","Indianapolis,IN",Indiana,Redskins,3,1,2,1,0
12720,4645,Ford City,Ford City,"Ford City,PA","Ford City,PA",Pennsylvania,Sabers,3,1,2,1,0
12721,2787,French,French,"Beaumont,TX","Beaumont,TX",Texas,Buffaloes,3,1,2,1,0
12722,4813,George Wingate,George Wingate,"Brooklyn,NY","Brooklyn,NY",New York,Generals,3,1,2,1,0
12723,5115,Henderson,Henderson,"Atlanta,GA","Atlanta,GA",Georgia,-,3,1,2,1,0
12724,2460,Henryetta,Henryetta,"Henryetta,OK","Henryetta,OK",Oklahoma,Knights,3,1,2,1,0
12725,5340,Jamaica,Jamaica,"Jamaica,NY","Jamaica,NY",New York,Beavers,3,1,2,1,0
12726,16999,Lehman,Lehman,"Canton,OH","Canton,OH",Ohio,-,3,1,2,1,0
12727,5794,Lincoln Academy,Lincoln Academy,"Kansas City,MO","Kansas City,MO",Missouri,Blue Tigers,3,1,2,1,0
12728,1168,Lithonia,Lithonia,"Lithonia,GA","Lithonia,GA",Georgia,Bulldogs,3,1,2,1,0
12729,769,Mercy Cross,Mercy Cross,"Biloxi,MS","Biloxi,MS",Mississippi,-,3,1,2,1,0
12730,611,Muncie Southside,Muncie Southside,"Muncie,IN","Muncie,IN",Indiana,Rebels,3,1,2,1,0
12731,7295,Samuel Gompers,Samuel Gompers,"Bronx,NY","Bronx,NY",New York,-,3,1,2,1,0
12732,7674,St. Anthony,St. Anthony,"Wailuku,HI","Wailuku,HI",Hawaii,Trojans,3,1,2,1,0
12733,8034,Towanda,Towanda,"Wysox,PA","Wysox,PA",Pennsylvania,Knights,3,1,2,1,0
12734,11838,Warrensville Heights,Warrensville Heights,"Warrensville Heights,OH","Warrensville Heights,OH",Ohio,Tigers,3,1,2,1,0
12735,8345,Weequahic,Weequahic,"Newark,NJ","Newark,NJ",New Jersey,Indians,3,1,2,1,0
12736,8514,William Penn,William Penn,"York,PA","York,PA",Pennsylvania,Bearcats,3,1,2,1,0
12737,10203,Bishop Hoban,Bishop Hoban,"Wilkes-Barre,PA","Wilkes-Barre,PA",Pennsylvania,Argents,3,0,2,1,0
12738,9866,Bowie,Bowie,"Bowie,TX","Bowie,TX",Texas,Bears,3,0,2,1,0
12739,13384,Calumet,Calumet,"Chicago,IL","Chicago,IL",Illinois,-,3,0,2,1,0
12740,5506,Kennedy,Kennedy,"Barstow,CA","Barstow,CA",California,-,3,0,2,1,0
12741,7237,Ross,Ross,"Brentwood,NY","Brentwood,NY",New York,-,3,0,2,1,0
12742,12613,Warwick,Warwick,"Warwick,RI","Warwick,RI",Rhode Island,-,3,0,2,1,0
12743,10160,Zeeland,Zeeland,"Zeeland,MI","Zeeland,MI",Michigan,-,3,0,2,1,0
12744,3466,Bridgeport,Bridgeport,"Bridgeport,CT","Bridgeport,CT",Connecticut,-,3,2,1,1,0
12745,16297,Germantown,Germantown,"Philadelphia,PA","Philadelphia,PA",Pennsylvania,Bears,3,2,1,1,0
12746,10615,Assumption College,Assumption College,"Brantford,ON","Brantford,ON",Ontario,Lions,3,1,1,1,0
12747,3475,Briggs,Briggs,"Columbus,OH","Columbus,OH",Ohio,Bruins,3,1,1,1,0
12748,3508,Brownsville,Brownsville,"Brownsville,TX","Brownsville,TX",Texas,-,3,1,1,1,0
12749,14362,Covington,Covington,"Covington,VA","Covington,VA",Virginia,Cougars,3,1,1,1,0
12750,4097,Crescent City Baptist,Crescent City Baptist,"Harahan,LA","Harahan,LA",Louisiana,Pioneers,3,1,1,1,0
12751,4102,Creston,Creston,"Grand Rapids,MI","Grand Rapids,MI",Michigan,Polar Bears,3,1,1,1,0
12752,4774,Furr,Furr,"Houston,TX","Houston,TX",Texas,Brahmans,3,1,1,1,0
12753,5244,Hot Springs,Hot Springs,"Hot Springs,AR","Hot Springs,AR",Arkansas,Trojans,3,1,1,1,0
12754,5827,Live Oak Academy,Live Oak Academy,"Moss Point,MS","Moss Point,MS",Mississippi,-,3,1,1,1,0
12755,11360,Merivale,Merivale,"Nepean,ON","Nepean,ON",Ontario,Marauders,3,1,1,1,0
12756,9599,Overbrook,Overbrook,"Philadelphia,PA","Philadelphia,PA",Pennsylvania,Panthers,3,1,1,1,0
12757,7207,Romulus,Romulus,"Romulus,MI","Romulus,MI",Michigan,Eagles,3,1,1,1,0
12758,805,St. Thomas Military,St. Thomas Military,"St. Paul,MN","St. Paul,MN",Minnesota,-,3,1,1,1,0
12759,17219,Stratford,Stratford,"Nashville,TN","Nashville,TN",Tennessee,Spartans,3,1,1,1,0
12760,10799,Williams,Williams,"Williams,AZ","Williams,AZ",Arizona,Vikings,3,1,1,1,0
12761,8977,Banneker,Banneker,"College Park,GA","College Park,GA",Georgia,Trojans,3,0,1,1,0
12762,11758,Beachwood,Beachwood,"Beachwood,OH","Beachwood,OH",Ohio,Bisons,3,0,1,1,0
12763,13259,Gibsonburg,Gibsonburg,"Gibsonburg,OH","Gibsonburg,OH",Ohio,Golden Bears,3,0,1,1,0
12764,4827,Giles,Giles,"Pearisburg,VA","Pearisburg,VA",Virginia,Spartans,3,0,1,1,0
12765,10024,Hickman County,Hickman County,"Centerville,TN","Centerville,TN",Tennessee,Bulldogs,3,0,1,1,0
12766,12227,Marian,Marian,"Framingham,MA","Framingham,MA",Massachusetts,Mustangs,3,0,1,1,0
12767,12248,Mercer,Mercer,"Mercer,PA","Mercer,PA",Pennsylvania,Mustangs,3,0,1,1,0
12768,10746,North Knox,North Knox,"Bicknell,IN","Bicknell,IN",Indiana,Warriors,3,0,1,1,0
12769,6865,Phoebus,Phoebus,"Hampton,VA","Hampton,VA",Virginia,Phantoms,3,0,1,1,0
12770,12837,Ranburne,Ranburne,"Ranburne,AL","Ranburne,AL",Alabama,Bulldogs,3,0,1,1,0
12771,9829,Schenley,Schenley,"Pittsburgh,PA","Pittsburgh,PA",Pennsylvania,Spartans,3,0,1,1,0
12772,12251,Westinghouse,Westinghouse,"Brooklyn,NY","Brooklyn,NY",New York,-,3,0,1,1,0
12773,11530,Woodruff,Woodruff,"Peoria,IL","Peoria,IL",Illinois,-,3,0,1,1,0
12774,13286,Albany,Albany,"Albany,OR","Albany,OR",Oregon,-,3,0,0,1,0
12775,11368,Bedford Road,Bedford Road,"Saskatoon,SK","Saskatoon,SK",Saskatchewan,Redmen,3,0,0,1,0
12776,10428,Conneaut,Conneaut,"Conneaut,OH","Conneaut,OH",Ohio,Spartans,3,0,0,1,0
12777,15385,Fairfield,Fairfield,"Birmingham,AL","Birmingham,AL",Alabama,Tigers,3,0,0,1,0
12778,11938,Irving,Irving,"Tarrytown,NY","Tarrytown,NY",New York,-,3,0,0,1,0
12779,8929,Jackson,Jackson,"Jackson,MI","Jackson,MI",Michigan,Vikings,3,0,0,1,0
12780,10503,Jefferson,Jefferson,"Elizabeth,NJ","Elizabeth,NJ",New Jersey,-,3,0,0,1,0
12781,12225,Pageland Central,Pageland Central,"Pageland,SC","Pageland,SC",South Carolina,Eagles,3,0,0,1,0
12782,7664,St. Agnes,St. Agnes,"St. Paul,MN","St. Paul,MN",Minnesota,Aggies,3,0,0,1,0
12783,14564,Discipulos De Cristo,Discipulos De Cristo,"Manati,PR","Manati,PR",Puerto Rico,-,2,7,2,1,0
12784,19079,Williamson,Williamson,"Mobile,AL","Mobile,AL",Alabama,Lions,2,3,2,1,0
12785,11125,Arlington,Arlington,"Indianapolis,IN","Indianapolis,IN",Indiana,Golden Knights,2,2,2,1,0
12786,11803,Ben Franklin,Ben Franklin,"New York,NY","New York,NY",New York,-,2,2,2,1,0
12787,3352,Bishop Turner,Bishop Turner,"Buffalo,NY","Buffalo,NY",New York,-,2,2,2,1,0
12788,3487,Brookhaven,Brookhaven,"Columbus,OH","Columbus,OH",Ohio,Bearcats,2,2,2,1,0
12789,3737,Butte Central Catholic,Butte Central Catholic,"Butte,MT","Butte,MT",Montana,Maroons,2,2,2,1,0
12790,10095,Central Memorial,Central Memorial,"Bogalusa,LA","Bogalusa,LA",Louisiana,-,2,2,2,1,0
12791,4119,Crowder,Crowder,"Crowder,OK","Crowder,OK",Oklahoma,Demons,2,2,2,1,0
12792,12373,Elgin,Elgin,"Marion,OH","Marion,OH",Ohio,Comets,2,2,2,1,0
12793,4630,Flint Southwestern Academy,Flint Southwestern Academy,"Flint,MI","Flint,MI",Michigan,Knights,2,2,2,1,0
12794,4765,Fries,Fries,"Fries,VA","Fries,VA",Virginia,Wildcats,2,2,2,1,0
12795,4822,Gerstmeyer,Gerstmeyer,"Terre Haute,IN","Terre Haute,IN",Indiana,-,2,2,2,1,0
12796,5141,Hiawatha,Hiawatha,"Kirkland,IL","Kirkland,IL",Illinois,Hawks,2,2,2,1,0
12797,14997,Jesup,Jesup,"Jesup,GA","Jesup,GA",Georgia,-,2,2,2,1,0
12798,5427,Johnston Heights,Johnston Heights,"Surrey,BC","Surrey,BC",British Columbia,Eagles,2,2,2,1,0
12799,5442,Julian,Julian,"Julian,CA","Julian,CA",California,Eagles,2,2,2,1,0
12800,5651,Lane,Lane,"Charlottesville,VA","Charlottesville,VA",Virginia,Black Knights,2,2,2,1,0
