yatstats overall rank everybody,hsid,hsname,hsname.1,location,city,regionname,nickname,alumni listed,Drafted from School,Total Draft Picks,Major Leaguers,Active Players 2024-2025
1593,4770,Fruita Monument,Fruita Monument,"Grand Junction,CO","Grand Junction,CO",Colorado,Wildcats,22,5,7,1,11
1594,11321,Morton,Morton,"Morton,IL","Morton,IL",Illinois,Potters,22,0,2,1,11
1595,3846,Charles Page,Charles Page,"Sand Springs,OK","Sand Springs,OK",Oklahoma,Sandites,20,1,1,1,11
1596,9567,Americas,Americas,"El Paso,TX","El Paso,TX",Texas,Trail Blazers,19,3,5,1,11
1597,2881,Burlington Township,Burlington Township,"Burlington,NJ","Burlington,NJ",New Jersey,Falcons,18,2,3,1,11
1598,4044,Conrad,Conrad,"Wilmington,DE","Wilmington,DE",Delaware,-,18,2,2,1,11
1599,9024,Canyon Crest Academy,Canyon Crest Academy,"San Diego,CA","San Diego,CA",California,Ravens,18,1,2,1,11
1600,4055,Corinth,Corinth,"Corinth,MS","Corinth,MS",Mississippi,Warriors,16,1,4,1,11
1601,1710,Elizabethtown Area,Elizabethtown Area,"Elizabethtown,PA","Elizabethtown,PA",Pennsylvania,Bears,16,1,2,1,11
1602,247,Riverdale Baptist,Riverdale Baptist,"Upper Marlboro,MD","Upper Marlboro,MD",Maryland,Crusaders,56,8,14,0,11
1603,10466,Papillion-LaVista,Papillion-LaVista,"Papillion,NE","Papillion,NE",Nebraska,Monarchs,50,1,7,0,11
1604,8386,West Forsyth,West Forsyth,"Winston-Salem,NC","Winston-Salem,NC",North Carolina,Titans,46,3,5,0,11
1605,6407,Nazareth Academy,Nazareth Academy,"La Grange Park,IL","La Grange Park,IL",Illinois,Roadrunners,43,5,11,0,11
1606,6013,Marquette University,Marquette University,"Milwaukee,WI","Milwaukee,WI",Wisconsin,Hilltoppers,43,3,4,0,11
1607,1435,Sam Houston,Sam Houston,"Lake Charles,LA","Lake Charles,LA",Louisiana,Broncos,38,3,7,0,11
1608,3784,Central Catholic,Central Catholic,"Lawrence,MA","Lawrence,MA",Massachusetts,Raiders,37,3,11,0,11
1609,2831,Clinton,Clinton,"Clinton,MS","Clinton,MS",Mississippi,Arrows,36,2,5,0,11
1610,9956,Strongsville,Strongsville,"Strongsville,OH","Strongsville,OH",Ohio,Mustangs,36,1,4,0,11
1611,722,Notre Dame,Notre Dame,"West Haven,CT","West Haven,CT",Connecticut,Green Knights,36,0,2,0,11
