hsid,hsname,hslocation,cityname,regionname,regionid,nickname,color1,color2,color3
12053,St. Johns,"Paducah,KY",Paducah,Kentucky,KY,-,,,
12054,Edison,"Richmond,OH",Richmond,Ohio,OH,Wildcats,silver,black,
12055,Lakewood,"Hebron,OH",Hebron,Ohio,OH,Lancers,,,
12056,Columbiana,"Columbiana,OH",Columbiana,Ohio,OH,Clippers,,,
12057,Columbus,"Marshfield,WI",Marshfield,Wisconsin,WI,Dons,,,
12058,Hooper City,"Birmingham,AL",Birmingham,Alabama,AL,-,-,-,
12059,Belmont,"Belmont,NC",Belmont,North Carolina,NC,-,-,-,
12060,Morning Sun,"Morning Sun,IA",Morning Sun,Iowa,IA,-,,,
12061,Charlestown,"Charlestown,IN",Charlestown,Indiana,IN,Pirates,blue,white,
12062,Crozier Tech,"Dallas,TX",Dallas,Texas,TX,Wolf Pack,maroon,silver,
12063,Richmond,"Richmond,VA",Richmond,Virginia,VA,-,,,
12065,Lumberton,"Lumberton,NC",Lumberton,North Carolina,NC,Pirates,maroon,gold,
12066,Sturgis Brown,"Sturgis,SD",Sturgis,South Dakota,SD,Scoopers,black,white,red
12067,Dorchester,"Dorchester,NB",Dorchester,New Brunswick,NB,-,-,-,
12068,Sanger,"Sanger,TX",Sanger,Texas,TX,Indians,,,
12069,Peters,"New Orleans,LA",New Orleans,Louisiana,LA,-,-,-,
12070,Flint Northern,"Flint,MI",Flint,Michigan,MI,Vikings,Grey,Scarlet,
12072,Dean Academy,"Franklin,MA",Franklin,Massachusetts,MA,-,-,-,
12073,West Fulton,"Atlanta,GA",Atlanta,Georgia,GA,-,,,
12074,St. John's,"Bancroft,IA",Bancroft,Iowa,IA,-,,,
12075,New Waterford,"New Waterford,OH",New Waterford,Ohio,OH,-,,,
12076,St. Frances de Sales,"Houma,LA",Houma,Louisiana,LA,-,,,
12078,Fredericksburg,"Fredericksburg,VA",Fredericksburg,Virginia,VA,-,-,-,
12079,Sauk Rapids-Rice,"Sauk Rapids,MN",Sauk Rapids,Minnesota,MN,Storm,green,gold,
12080,Automotive Trades,"Brooklyn,NY",Brooklyn,New York,NY,-,-,-,
12081,St. Mary's,"Clinton,IA",Clinton,Iowa,IA,-,,,
12082,Corry,"Corry,PA",Corry,Pennsylvania,PA,Beavers,,,
12083,Southern Freehold,"Freehold,NJ",Freehold,New Jersey,NJ,-,,,
12084,Booker T. Washington,"Rocky Mount,NC",Rocky Mount,North Carolina,NC,-,-,-,
12087,Petersburg,"Petersburg,IN",Petersburg,Indiana,IN,-,-,-,
12088,Fredericton,"Fredericton,NB",Fredericton,New Brunswick,NB,Black Kats,yellow,black,
